event_origin_id,event_id,chosen_distance,n_candidates,n_selected,salary_candidate_share,any_selected_with_salary,all_candidates_with_salary,usable_salary,drop_reason_salary
evt_644||2003,evt_644,different_department,5,1,0.4,TRUE,FALSE,FALSE,candidate_missing_salary
evt_644||7506,evt_644,different_department,40,3,0.425,TRUE,FALSE,FALSE,candidate_missing_salary
evt_646||1555,evt_646,same_department,21,6,0.6190476190476191,TRUE,FALSE,FALSE,candidate_missing_salary
evt_646||2183,evt_646,same_department,10,1,0.1,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_648||8594,evt_648,different_department,5,1,0.4,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_659||2158,evt_659,same_department,6,1,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_73||6953,evt_73,same_department,7,1,0.2857142857142857,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_83||1449,evt_83,different_department,84,1,0.4880952380952381,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_86||1449,evt_86,different_department,84,4,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_86||1757,evt_86,different_department,3,1,0.3333333333333333,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_86||8490,evt_86,same_department,27,2,0.2222222222222222,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_87||1449,evt_87,different_department,84,3,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
evt_87||2174,evt_87,different_department,27,1,0.4444444444444444,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_88||1449,evt_88,different_department,84,1,0.4880952380952381,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_89||8490,evt_89,same_department,11,1,0.5454545454545454,TRUE,FALSE,FALSE,candidate_missing_salary
evt_8||1147,evt_8,same_section,5,1,0.8,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_90||1190,evt_90,different_department,54,1,0.6481481481481481,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_90||7051,evt_90,different_department,17,2,0.5294117647058824,TRUE,FALSE,FALSE,candidate_missing_salary
evt_91||1225,evt_91,different_department,6,1,0.3333333333333333,TRUE,FALSE,FALSE,candidate_missing_salary
evt_91||2056,evt_91,different_department,61,1,0.5901639344262295,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_91||7051,evt_91,different_department,17,3,0.5294117647058824,TRUE,FALSE,FALSE,candidate_missing_salary
evt_91||8490,evt_91,different_department,27,1,0.2222222222222222,FALSE,FALSE,FALSE,selected_worker_missing_salary
evt_94||1449,evt_94,different_department,84,3,0.4880952380952381,TRUE,FALSE,FALSE,candidate_missing_salary
